owner,wd_time,n_sells_72h,usd_sold_72h,first_sell_time,dumped
0x906b89c8b896ac490879dc1b1d4d62ff0f7cecf6,2023-03-11 12:09:47.000 UTC,0,0,,0
0x1e7e07e306d8b9e8fde77609744974b66f76f76d,2023-03-12 07:01:35.000 UTC,0,0,,0
0xdcc328b22ef42f27fcfd6898b94bc4dbc9d45686,2023-03-12 00:19:35.000 UTC,0,0,,0
0x231f77f0c4d7a9f2e20767c7b76ae745a6c547f9,2023-03-11 05:14:59.000 UTC,0,0,,0
0xe14cedba68be35861dde3a599fba6a341b1a15af,2023-03-09 20:04:47.000 UTC,0,0,,0
0x6d2bd2272f1637c5efe123ea79ec7790eb79e290,2023-03-10 11:32:23.000 UTC,0,0,,0
0xf84ae79ca9ec37caa896b7985b5302214fd63ed9,2023-03-11 02:54:59.000 UTC,0,0,,0
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,2023-03-11 21:40:59.000 UTC,0,0,,0
0xb5fb1a63da629c39687d917f4a9bbb49a4e283af,2023-03-14 04:57:23.000 UTC,0,0,,0
0x3fb4024a705fb11d2d426c1e692d50a5a08aa3db,2023-03-12 22:35:11.000 UTC,0,0,,0
0xfa9eed6eb7f5844712a895bc0aa01e025c3906a8,2023-03-11 14:22:35.000 UTC,0,0,,0
