owner,market,net_usdc
0x761b685db57e31b63e2287c19fb13142be287bf0,aave_v2,-1286.598374
0xdeb6f026cdfa8ab1130875aacee3312aa0c3f915,compound_v2,0.0
0xad233d75cecb0cb149bbc3e51dd3ecbe448a1403,compound_v2,0.0
0xf97abd8a71d94c6159bab4943da213b650b927e1,compound_v2,0.0
0x2bffa04bdcbe509fee694704ac136919ee64d573,compound_v2,5.336642550984
0x8ebef8a002b7fa56c8c128a0cce422bbc975ca26,compound_v2,0.0
0x0524fe637b77a6f5f0b3a024f7fd9fe1e688a291,compound_v2,670181.940999551
0x5546803bb4eac074e3a22dffdb98f39aff4258ee,compound_v2,0.0
0x9ce0f8dd2c275a3b6d6dcf58d058892d758af64a,compound_v2,0.0
0xe9a6365bdc8c93b12798e28d11c185d3780af9aa,compound_v2,0.0
0x6f98919b0118a7647872f88bf88154f82140a967,compound_v2,0.0
0x8a0bfe04d175d345b5fdcd3e9ca5d00b608ce6a3,compound_v2,0.0
0xa7d496a19af4a08db830eaee60f1564b079d1d15,compound_v2,0.0
0xef915e0683a0fbcbeb82699d014c92b13e9fecf9,compound_v2,1.9559588076
0xe7e49b6db16537769843257f3bd643bde07bc182,compound_v2,0.0
0xa879422321b0b4d143effefc263e4f76c99e839b,compound_v2,0.0
0x1283f17edc401c0f12a4754208163e2e9be431fa,compound_v2,0.0
0x3cb304fe409312a93fdbf86ab260d04ef0d67823,compound_v2,0.0
0x5f0239c753ddc7f5327ac7f5db25930c738e5600,compound_v2,5141.1325709023085
0x8d5a603ee20b437a872f55f2380ffc907ad241cd,compound_v2,2507710.890142418
0x7d2826e40f6e5ec61529946d0550c39e9c2cc3b2,compound_v2,128.15406331482
0x538391b0d8256e91790d2c6b53aadc398b1295e9,compound_v2,7567.429138307209
0x9b76815522a6d03d06769f3f79239ec8c9356d36,compound_v2,118366.34955503113
0xc522598d403a1278644bcf28fd31608afc91497a,compound_v2,538.629132540084
0x66333d5daa59550eb5a9571cafae5a83d83124f2,compound_v2,533.687243162376
0xb49405f98b402c1e0a61aeb80547830ecfef0e81,compound_v2,1653.1663301014921
0xf4d1abfc5fe1831cebb29dae520edb32ca4a9e44,aave_v2,-176.841856
0x9ac52b634ed0916eb25c8d9aefa40266d1269d44,aave_v2,-10035.664195
0x93911f9a60f5fdd691c73c499bff050aa2bb7324,aave_v2,0.421856
0xb3c9669a5706477a2b237d98edb9b57678926f04,aave_v2,-319279.274663
0x5f72407f2176f54eed535de6b4f1407e2f330794,aave_v2,-600000.0
0xdeb6f026cdfa8ab1130875aacee3312aa0c3f915,aave_v2,-2807.57945
0x2ff6bf693c0fbd4f39bd07266fc994fc60035636,aave_v2,-7110.949698
0x31f26f1620276eb06d2f2b3dd37b04b6a6afe5f5,aave_v2,-36532.753736
0x045038d82b5c27b5c992994cd4129aa80fd1a20c,aave_v2,-19883.749919
0x04e4feb75081561bcc49f5e73acd4e93b7417b7b,aave_v2,-1500.001106
0xdcef5413bc4b2b105a74d37d5ae955c7b32091fc,aave_v2,-35189.07819
0x486eb0e2fa31db1e30fc035bf8a37c304da87a23,aave_v2,-10144.401318
0x091140a7cc1472b538dd2f412260bfefa45cc46c,aave_v2,-1000.286237
0x93cc4381d045a113e53040c86d84ccb55afd6ecd,aave_v2,-1418.571884
0x1b133343e87c59b9433c728528a415ec4fd249df,aave_v2,-1300.000483
0x8f54d1cec3fb175db011db61a764e4b199b17ba0,aave_v2,-50000.0
0x31a243599d6d3c6bc81460d5ca9538e8b6dd2762,aave_v2,-26592.9121
0xac7cf2d439c052fc795b157663f5257a67cdec11,aave_v2,-38953.480843
0x2091b12446f0e79cc5ea6657ed52a9dee5ee91a8,aave_v2,-213370.011232
0x4c0610cfd0030dacb1ddc174a90ecaab3df1e341,aave_v2,-500.0
0x32388335cb1381d7e192a875ec1267fcdc8474a1,aave_v2,-10943.3963
0x887a2ebe6dc68d15a57644f2fb1a0c642a82fe6e,aave_v2,-25000.007533
0xbeaaf2a7de5e7cbe6d9a333b2e0b2f64ea02515d,aave_v2,-65111.215777
0xd1224cca68861b020041e452a2c30d3670043a74,aave_v2,-98378.510116
0xac655ff9d1c954ca92424c66d818cda0e59fafe3,aave_v2,-124000.0
0x4f6092a5157003bea7640349d6fadccad915980b,aave_v2,-5535.171435
0x13c9903b8c50c6631d9e8fbb87ae9341e76262d5,aave_v2,-51679.813486
0xb5f089f77328061af7332c435b3b8d9aa772a408,aave_v2,-287262.77936
0xb154bc86a2bc95a2205ce98b811a7c5ab3dc3081,aave_v2,-70915.98887
0x658d9c90ac330369418bc51efe9f62e80a9bb435,aave_v2,-124184.508783
0xda2bea1b1d4302b16ea8e0b5a82a128eab5bdfc1,aave_v2,-179359.906768
