owner,proto,tenure_days
0x488cd153f76101d6bb2c595ac5a0b3531bc4d9f8,aave_v2,674
0x4b9b3aad8e71647146aa5c25efa7e7a86398f279,aave_v2,263
0x60dac39fff8e51be73e40d5003ec5dabcec0f1d5,aave_v2,401
0x1a645656cd92d9512285eea1e3d214db686a015b,aave_v2,241
0x31e1c86c87791c903ccb82726e11a761187ef694,aave_v2,633
0x048bf2f5908e95976cead0e47d805b3803e286e2,aave_v2,238
0xc4aaed2f9c4adc0e9eacd8d875ce09b219ccd0a0,aave_v2,240
0x7149f1da3df5c96bd77e968ba343bb8eb14ad8fa,aave_v2,216
0xebae3fd539517ef962fd0c8b998ebf90b483147c,aave_v2,546
0xbb476a7e94dc81506f97a16aa20d0241a5cf6416,aave_v2,250
0x1abcce04913e3dd7ba63e870433d44caa1ae87f5,aave_v2,299
0x0abbf77da112cd7f0316663aca1a1107cb4ef6d7,aave_v2,169
0x9731dec8b3223888cce8878a4eef1764e54f899b,aave_v2,169
0x35bb6cde9c182d4602f6b0aa76543783f1a52756,aave_v2,157
0x7e04231a59c9589d17bcf2b0614bc86ad5df7c11,aave_v2,157
0xf6ce2b22eade2a4a887e4a717fd646c00eb4d1ec,aave_v2,157
0x8ad7f2e3cf0a2240661df767546d30ca9997718a,aave_v2,117
0x318098f509d52c2f528112126387b6d7b1b96a91,aave_v2,106
0x184dde49f9318f487be36c0a74455d754d831ed0,aave_v2,106
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,aave_v2,101
0x8767c96e95e8ea8a3190aa4d835720df5ee6df11,aave_v2,98
0x9aa3f40129ff44bc64998b2fcf157aae3362870e,aave_v2,98
0x0645736eecfe8b572cbabb885eaade641b659846,aave_v2,141
0x54a8aebb7985d3e19526e7cfda4cfd7d8b85db43,aave_v2,113
0xb5c36bfd8107a6a8a375aac7d7b5cff4315e4618,aave_v2,221
0x78bde1fe54d93d6bc483e160205f4b7e1c7ca5fb,aave_v2,29
0xf87ea8e1d1fd3c41486b09f5672463a01fb1ec7f,aave_v2,11
0x6d2bd2272f1637c5efe123ea79ec7790eb79e290,aave_v2,8
0xc3aa07f014e59c161f8fa8ba0e7c87270ed0139a,aave_v2,750
0x2c81be91de7e3ba6a46b7d9778a3da0e7e4c68d0,aave_v2,227
0x5724c9480139ee8cd9cf7955d62192aefa145483,aave_v2,804
0xdc340d1ab28aaaf4edb02f791a78ff454a6b8cf4,aave_v2,519
0xfed48f848e35dee87218c802f07e991d45860f35,aave_v2,775
0x38d9ee2fca628e339e85dcf0e32b2350b445fb7a,aave_v2,773
0xb36e545141d33ec6d8c5e8ca587c682e49c3aee8,aave_v2,681
0x9758417b708829e95079cb0ad4d776d357479f6b,aave_v2,773
0xc5ec4153f98729f4eaf61013b54b704eb282ecf4,aave_v2,631
0x87fcd8aa5187b354d4820bb8d82cca0b7c84b3fe,aave_v2,595
0x25a765945ffff231beedf9d9575852d8574beae1,aave_v2,752
0xff4514929fdde423d27b2786de31b043832d26e0,aave_v2,749
0xecca36cf62eba840be9a18f77a241a888d6586a2,aave_v2,751
0xe520fa470d26d47f5bdd4c9d0dacf2c7638456ad,aave_v2,604
0x002ad2406d6d05e0c58e39af6eb506f762e9f7bb,aave_v2,745
0xf9fe05ea33742fa32cafb347920b7d53277a73dd,aave_v2,792
0xd425333dd22b049f143522e519a06462c633f37a,aave_v2,740
0x215c00f3fc65efcca48d0376f73090c53fd491ae,aave_v2,532
0x621f8bd31016be97a578cdb01fb619168f951581,aave_v2,738
0xd764a7a204d58d388c1446dc20b0aa0caa72a842,aave_v2,734
0x4e0b6d5dd3cc83e7154b922d16e40dafc5278a51,aave_v2,426
0x4aadd44e474a33fd97e402e9b1cd5a6b9909f82e,aave_v2,507
0x69fb258cc52b91e8b6b82bfae983fd327f806c5b,aave_v2,704
0x7aab5c914814c2f298ffe2b6b1d224ef6bf8e2a6,aave_v2,766
0xf0c80dbd5b54c7181282b82b56c14ea7d5b37e0d,aave_v2,678
0x5ade889a20cfbabf704f1cb71b1b3aab2b93f5ea,aave_v2,610
0x6ae03d1d3a9b161ec264c76ad73999ee25abec5a,aave_v2,683
0xcf8b5ecc002d0a90be8ee312613cd25eaa3acaa0,aave_v2,606
0xcdb59e95c5a3339023990336d3d969f61ce19778,aave_v2,662
0x1f3ca2b47253521a45b54857e1e761eae0cbf82d,aave_v2,662
0xe898908cbe1aa10389f9bae84a05a67e8f940122,aave_v2,598
0x27c04649c8c0936bf2eeee1c15e89a277ceb4f7a,aave_v2,708
0x693926bc3ea8054d164be0db4a59a37432cbc92c,aave_v2,662
0x2bea3155813ea8652e9648cd42680bdf1a77629b,aave_v2,622
0x433ebd14e7e3cfe790013fc70ea50302e0b29f4b,aave_v2,621
0x554b1bd47b7d180844175ca4635880da8a3c70b9,aave_v2,621
0xfefad0e9291bada5a61dc9f42a8192ec9b2d73dd,aave_v2,658
0x778b93f1e7cac191b302bbf6233879749699dc04,aave_v2,658
0x15c156e40b048ca746d1035dd6f01548de89e3d8,aave_v2,649
0xc632843b0db65b5bd4a7d6c661f6a2a6d1fb2fdb,aave_v2,649
0xf9ca61b2c3938d3c5ec8fa669622240a7a0cb316,aave_v2,644
0xa8ecfcd19e4c147b8e9f9d13cf7d6434a92c6b49,aave_v2,619
0x6cd71d6cb7824add7c277f2ca99635d98f8b9248,aave_v2,619
0x329d73f86b83d7bd8a72f7ba0fccded0fb682f1c,aave_v2,640
0xbd3e64354343db4d6ed0bf3bc083a5a9beabbb9c,aave_v2,640
0x5d3183cb8967e3c9b605dc35081e5778ee462328,aave_v2,826
0xd760605963d503026e6ef18a270584857c20f804,aave_v2,636
0xac87234b21240cda556bc4ee81efd9e370fa1696,aave_v2,824
0x65101f7aa8456134454195a1f79e75ca2be0beeb,aave_v2,811
0xf326db408b09cfc1a26f623b912e0ef59d48edeb,aave_v2,800
0x5d39ce553dcd2bcbac4796acc63752b4e5937051,aave_v2,793
0x12b7e60cdcb4aaeb62edc1dd9acac056b85edf6d,aave_v2,628
0x932e269e4cbb515e30159dfb1205af192a3e3ee9,aave_v2,803
0x5dc67cbfbb4a39367c5aaf2db9026a47999a6d9f,aave_v2,628
0xda874f844389df33c0fad140df4970fe1b366726,aave_v2,634
0x1819bc55d09e4a5abfc83d75e5991cc2c91b81ba,aave_v2,627
0x31fe8439f34ed04514288a6f0f19f26c647cd6ad,aave_v2,478
0x262a848812c1297bfe5a4bdc94cb3685e90da149,aave_v2,462
0x7373043ccc6186caddb2c9e69e60ffd7ffcd7621,aave_v2,463
0x3a0c5583d5abadecd7bb043709c4b1aed89267d6,aave_v2,620
0x6aa635d7e42f71b09ed7832f2620178c0bf8f082,aave_v2,616
0x357b7e9acd156c0f930b75c6ae6a42f3d9173042,aave_v2,754
0x50aa9f37659cfcbd361d553100002ed6e17c2b41,aave_v2,744
0x5df175166c62ddfe053d93c7334122aa0c475a4e,aave_v2,741
0x4cbbf33f4cfaaa8a467059a97eaa1b2f8521895c,aave_v2,737
0x7e318b0c33e97acb4de0755d0dfc40714e16caaa,aave_v2,737
0x3ddd3152aa2fb59a59fe1923671bf328a73df60d,aave_v2,737
0x9fbcb9af948bd5b74e4399ebd109f9f5dea496a8,aave_v2,605
0xc8dd0a3a62f5604c96ade697a32293b9fa1244b2,aave_v2,733
0xae8ecc5d8b906a1d88c158af23905023cb6d70a1,aave_v2,600
0x2e2f69c54f1478b93bed8a09c8cd8118b2a1d46b,aave_v2,614
0xa6f263e55570c3b98a12aa9d57fc995edff2a014,aave_v2,583
0x98a506cf5e598aef2a26b94c3ae1415e942e0d90,aave_v2,731
0x46ee7bea049cd2d728fa8267be826c6953362af7,aave_v2,727
0x988136bc3201ce5f8c9b8c1501c0664f96dd0a3c,aave_v2,719
0x616ed83d247fc2a90b247852a0895f9ed4a3db0f,aave_v2,269
0x5242dc2114bb40ed7482adcfab07384d069408cc,aave_v2,340
0xd302a1cb95efa654782bdf2f1c467fb1c0b060f8,aave_v2,300
0x9267dd3ef3cb82f5e2c1cfe70de16fbd33f32680,aave_v2,259
0xe3a2afd3082ad938908a98bdfac25a1caf5e3b87,aave_v2,254
0xb246ee73d98e9cdca42cbfa2b44b350cd6041e31,aave_v2,254
0x1b48c13bff3826bc6702212c75c50da7db05f97b,aave_v2,568
0xbee5b223c69c353df90695396d3b7e965cf1adbe,aave_v2,383
0x429afeed17b52022eeef104f498b2e9f8237cec0,aave_v2,198
0x3eb96bd49af2254609fdad3425cbcf0d465aebaa,aave_v2,633
