hour,n_withdraws,n_wd_wallets,outflow_usdc
2023-03-03 11:00:00.000 UTC,2,2,545000
2023-03-03 12:00:00.000 UTC,2,2,9864.110634
2023-03-03 14:00:00.000 UTC,1,1,2002.917243
2023-03-03 15:00:00.000 UTC,2,2,23494.161503
2023-03-03 16:00:00.000 UTC,1,1,200000
2023-03-03 18:00:00.000 UTC,1,1,2500784.571748
2023-03-03 19:00:00.000 UTC,1,1,86920.297729
2023-03-03 21:00:00.000 UTC,1,1,397960.2
2023-03-03 22:00:00.000 UTC,2,2,103460
2023-03-03 23:00:00.000 UTC,1,1,17015.3
2023-03-04 00:00:00.000 UTC,6,4,347531.489953
2023-03-04 02:00:00.000 UTC,11,11,1004049.5591979998
2023-03-04 06:00:00.000 UTC,1,1,1000
2023-03-04 07:00:00.000 UTC,1,1,26.734495
2023-03-04 08:00:00.000 UTC,2,1,1862170
2023-03-04 09:00:00.000 UTC,1,1,193.917654
2023-03-04 10:00:00.000 UTC,1,1,6799.32
2023-03-04 11:00:00.000 UTC,2,2,111677.692777
2023-03-04 12:00:00.000 UTC,1,1,15000
2023-03-04 14:00:00.000 UTC,1,1,423.531677
2023-03-04 15:00:00.000 UTC,2,2,563587.8632730001
2023-03-04 16:00:00.000 UTC,3,2,50974.738648000006
2023-03-04 17:00:00.000 UTC,2,2,2380191.390546
2023-03-04 18:00:00.000 UTC,1,1,59
2023-03-04 19:00:00.000 UTC,1,1,263723.856698
2023-03-04 20:00:00.000 UTC,3,2,2404234.767873
2023-03-04 21:00:00.000 UTC,1,1,1201062.932991
2023-03-05 00:00:00.000 UTC,2,2,12336.668327
2023-03-05 01:00:00.000 UTC,2,2,135979.060834
2023-03-05 02:00:00.000 UTC,1,1,2213913.269446
2023-03-05 03:00:00.000 UTC,2,2,160000
2023-03-05 04:00:00.000 UTC,2,2,17511.25
2023-03-05 05:00:00.000 UTC,1,1,56000
2023-03-05 06:00:00.000 UTC,2,2,2642051.1712809997
2023-03-05 07:00:00.000 UTC,3,3,4627788.843751
2023-03-05 08:00:00.000 UTC,3,2,135357.44232099998
2023-03-05 12:00:00.000 UTC,2,2,133763.32506200002
2023-03-05 13:00:00.000 UTC,2,2,2253637.477749
