bal0,first_wd_hours,owner,ran,tx_sent_count,wallet_age_days
2000.0,,0xade58ee3b3e0abc11b2b84a6221b64726ea7d7fb,0,226,171.0
59443.479214,,0x7dd68ccc7eadbe17120f9be5dbc7d69b28614145,0,42,522.0
30000.0,58.0,0xa6011446c6a8c8d09e9f8a8022c200b41eafd14f,1,39,220.0
6000.0,,0x10ce9c96a2f0102c22055982ecf8f393e3534b16,0,206,1844.0
20410.0,96.0,0xad3b757366b290311391a30bac301c4330a8b055,1,323,1058.0
973.641562,,0xf5ee4b1aba99e89166d12b9a7e2bdd863d442b82,0,24,141.0
6000.0,,0x25f198a86968a5839caf262290bc68fe02691915,0,15,35.0
1324081.921782,,0x6538d3d3737b653bc7ca4f1061e6e0a1dfd8f3af,0,166,168.0
3269.424891,44.0,0x7eaf8e65c5f21e3efae0b54c8f4db87a7a108060,1,73,148.0
258.84264900000005,76.0,0x1efa38b36f6f02919b772e3b3fef2b96a59fec6e,1,39,26.0
509575.930126,55.0,0x7421c1ed16b400e4868ce696452c3c985f8cd04d,1,1407,919.0
27259.929764,,0x87474eb5e6f15c5b770c7a68b37342830211ea9c,0,126,102.0
53722.242457,73.0,0xe3a978ddaeabead8f392c66d16caae3ad1215725,1,163,766.0
292650.9581,44.0,0xfc16e1dd588130e6308da24c4f62ba39e014af81,1,112,1191.0
80362.366584,48.0,0xa79f4982e325cb7f5ae9b6e442f744818f9341ca,1,528,718.0
73280.919972,45.0,0x9499506fcb2b2eab5ac62ac82e2284501e472b60,1,54,74.0
80000.0,,0xb1a83c794eea89dcd256156425de3ed129f44388,0,0,
80000.0,58.0,0xeb995b3c69ffe15170b159fc079a3cc6cc85d576,1,136,1323.0
10000.0,15.0,0x42b71d3ac482dad040ec5ce938d3798f7f6afc17,1,495,903.0
989.673217,,0xc264b7631f8a833e1e519fe2cc7a884afce5b164,0,16,196.0
920000.0,60.0,0xd0f6b740dd711781db5ca00be9b8cb45b1d52bc8,1,8,19.0
399702.207663,4.0,0x158485d899f0fb3e1a48bf772489b8e6c2449d5b,1,73,119.0
17755.0,102.0,0x83f1f94d3f6253ac6762ccf72c57afd8850b5edb,1,12,118.0
502.805107,,0x6541e84af0b25f3e084e9ed17d8f255a12d125d3,0,76,904.0
441.257757,,0x4eaba063bb0f3ca43a888182823f2a45bf97971a,0,2,13.0
16000.0,44.0,0x35147350ad9497162ab5deb2b37d7c01b68b33d0,1,57,435.0
20586.068672999998,,0xdc1f24cbc7d9fa10f45effdd950bb4ae90c5efd0,0,462,861.0
500.0,,0x83fef7394ee6666b0d11f13f650bbce3de32c299,0,7,29.0
10001.880000000001,135.0,0x018dad25d5ab6273ad68f8a5f1ac1df0db2633bc,1,305,84.0
1008314.155609,45.0,0x60eb2c6944f7b0fb2253d67aca9a1c9eb94be1fb,1,16,22.0
130000.0,,0x14c9c85576643df11a0e0162a30025f0664e3f32,0,0,
500000.0,47.0,0x3d5aeff2ef3e0cea80f43340215d6bdfc8b336a7,1,1104,1248.0
10000.293425,,0xe6f96b42317a1a594c3abb0e86667fde3490377e,0,352,1871.0
34342.658210999994,,0x0309301ed25e5cbcac19055c00b65a9836f5ac6e,0,208,42.0
8452.340509,,0xa2fe041692e47e5ee6702d162861430e27223e62,0,0,
3844.350705,,0x17bbce72c791a779369a3cadc5cdece2e384dae7,0,45,803.0
22517.350218,59.0,0x074e92b8527587725a0e2b4b41ec85d797481ab5,1,389,460.0
179248.40722400002,43.0,0x6386e4a9fc80b3f69f2cdbf5ce3bf3777d7c1335,1,222,351.0
16310.938599,,0x2c7f10317fc5835d609ca41fe4d01b454f32022b,0,9,390.0
65262.635562,,0x9e43b71d2483dff3ed2a369d92a13146c836b100,0,30,121.0
1540000.0,48.0,0x218b3d95a34ba1a54801ce3327f6457366764754,1,99,118.0
774.132962,,0x7004c3bb2c055e0950185ae539ea8527de514925,0,25,573.0
16990.0,31.0,0xdef13e0461bd92f2cd4ffacb947b50a5ab2cc998,1,26,20.0
17787.268451,63.0,0xf97f22e4cfcf9a65ec51c4addeba41b252e1d5f3,1,20,36.0
200.0,,0x69df295d9230bd270f78f45aecac076ae712bce0,0,7,39.0
118202.767076,,0xbd8d892efa790742d81f642b2d55096387411efe,0,28,523.0
15088.646053,,0xf9018895d2a28b7073b6da628533b06a1f1b89ad,0,76,854.0
400844.705887,48.0,0xfcb9d62614aef67ddbb2c1c5d5f97546cfb3ca4d,1,29,104.0
2352.389317,,0x2fa11ef008c4b585ccf0a76861794ac7ae5a3a67,0,995,582.0
2905.333021,,0x1bdb26fcb8ef6222f1f2dc91a619fe8764f99cc0,0,3,351.0
80000.000005,,0x90742961fb53d3603ddc602b86aa73145a9b2c7b,0,162,659.0
1029187.089397,,0x07790f2294d69f6fecf79bd213bccaf26193d35f,0,0,
