owner,n_sells,usd_sold,dumped
0x4676ec5a0727caeaea24b908d0702b2af8618d52,0,0,0
0x5c5b61b7f4773b1485a05a85c06fb5fe5905360c,0,0,0
0x00bbec501f5d04501f4190d37faf94135cc22f0c,0,0,0
0x6d16749cefb3892a101631279a8fe7369a281d0e,0,0,0
0x7621b711506ab43a2c27f3b353dc133c9db52d46,0,0,0
0xc3a5560e6d911baba1e7dbc6b4f9981e0c1bf398,0,0,0
0x28dc43a03d579bf0b5c604522fe86219a24a00e8,0,0,0
0x83e74809bdbca1627a16811d540a693d5ead6c7e,0,0,0
0xc108b793e293f1aac19418e899397e62fdf02575,0,0,0
0x3b8558ee91ca3fa0940ef8b008478af01d735d08,0,0,0
0xdccc5094404422cd48cd7afa95b618fe0cd3d0fe,0,0,0
0x7ca9f02487e897b6468b3d5f6a92ba6e1961655e,0,0,0
0xadc025c8ab37ba819ce363fc1215ec1a2af75031,0,0,0
0x18cf98baeb989e684a607acb9d94b50cdc332601,0,0,0
0xfc0defff3868e3f3aeb2eecfaa2b3c2a15622659,0,0,0
0xcc53c514da9fee75ab6adf019cbc363ce9f0d7ca,0,0,0
0xe4244c2880c58253348e7a27e71412b522999b94,0,0,0
0x47f4e5ca3d84348004a531be3986c850b6e76e08,0,0,0
0x84088fb8e6b229034d243cf2cfec6ae504a9d3fe,0,0,0
0xe475b4ae7f4c549817768537c0f8ae8bd4def540,0,0,0
0x6d636ecb8d66c0c2fa89333ce5fba0145b39a014,0,0,0
0x766747fdaf0f0629098860787007bdc9b7252db5,0,0,0
0x7c2d6e53df689528675c8c2137f052de8d0a27cc,0,0,0
0xd542aa8f1789edf123ad816c1b59ed9fed15c50e,0,0,0
0x9913e51274235e071967beb71a2236a13f597a78,5,171814.7185237949,1
0x66f9fabbdf071765506f41cc02cd3e4f2258b025,0,0,0
0xe30f3ed98f790b1229889834b4bc5981e42af07b,0,0,0
0x02e9d2239578bd27634659f59fae4df9bac4076d,0,0,0
