day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2023-01-24 00:00:00.000 UTC,10768489.075639004,8477447.717380999,2291041.358258005,40,31,26,29
2023-01-25 00:00:00.000 UTC,2234970.646576,18776084.204562,-16541113.557986,17,32,17,22
2023-01-26 00:00:00.000 UTC,2365999.6200559996,5160858.473355,-2794858.8532990003,16,25,14,22
2023-01-27 00:00:00.000 UTC,1139795.5113290001,4196539.688216,-3056744.176887,11,32,10,18
2023-01-28 00:00:00.000 UTC,5796643.434478001,3651080.8024750003,2145562.6320030005,23,16,20,14
2023-01-29 00:00:00.000 UTC,2435706.4199200002,3809384.031052,-1373677.6111319996,23,32,21,25
2023-01-30 00:00:00.000 UTC,7737408.341456002,2378222.645596,5359185.695860002,19,19,18,19
2023-01-31 00:00:00.000 UTC,1624977.428578,4467084.700921999,-2842107.2723439992,15,23,15,18
2023-02-01 00:00:00.000 UTC,8009685.470008,6582468.217027,1427217.2529809996,17,23,15,13
2023-02-02 00:00:00.000 UTC,3627566.7065370004,3117737.9751879997,509828.7313490007,19,39,15,31
2023-02-03 00:00:00.000 UTC,644258.095699,598178.193078,46079.902621000074,21,20,17,16
2023-02-04 00:00:00.000 UTC,627935.960724,673489.826886,-45553.86616199999,11,12,10,11
2023-02-05 00:00:00.000 UTC,4832703.717796001,212022.652081,4620681.065715001,11,10,10,8
2023-02-06 00:00:00.000 UTC,1937640.945359,1248225.095697,689415.8496620001,18,13,16,13
2023-02-07 00:00:00.000 UTC,791260.466194,1348049.5308579998,-556789.0646639998,14,21,10,19
2023-02-08 00:00:00.000 UTC,3727088.747558,4370119.900579,-643031.1530209999,8,12,8,12
2023-02-09 00:00:00.000 UTC,2664184.8527309997,11102996.635431,-8438811.782699998,25,23,23,21
2023-02-10 00:00:00.000 UTC,3255940.134383,2578500.203485,677439.930898,17,34,13,22
2023-02-11 00:00:00.000 UTC,4005464.442296,1067241.965947,2938222.476349,17,13,15,8
