market,owner,role
compound_v2,0x365e75d9b8f378b0307c91d7cd515fdfcb988b04,sender
compound_v2,0x571d6b808c287ceffe77318c346ddd676af011de,sender
compound_v2,0xd4a14a8fb1edf891ffdf82745ea56542a4037d7c,sender
compound_v2,0xe39b0a6eba87e26f58d6a0ef12d903bc1945afb5,sender
aave_v2,0x6e3923c05f1420a6852164a6a6e3ed958451616a,sender
compound_v2,0xd28c385a02a038b8e4a924147603a38d59b665ec,sender
compound_v2,0xb54d7a3b85fc45bd39f85a2f544c4bfead19525e,sender
compound_v2,0x1998ca0054eea4706c66a08791c9fd092c125334,sender
compound_v2,0x7cdbd5dac773f56488f0e4592981c743189cc76e,sender
compound_v2,0xfeec8109f1ed9177433d6c7a0342fa1ece657810,sender
compound_v2,0x478fa4c971a077038b4fc5c172c3af5552224ccc,sender
compound_v2,0x04d68670afa29b3bc4c2204e51a8508182e2d2f7,sender
aave_v2,0x96975c9e994852cf1df8543c5fe5292c84cee6cd,sender
compound_v2,0xb21fc81b2d98d3c60bdb130741d3cb7e131a74a5,sender
compound_v2,0x08154b4d91145bd2ecace93da39cf259aac12f65,sender
compound_v2,0xaa3481ccbe4a64682ddd5f1e990fa9364c01f920,sender
compound_v2,0xe66f86c7d3dc600c90e7a688dc79ce6f2b7a0e84,sender
compound_v2,0x16209c22a3844abe65c54015f6722ae3277cf665,sender
compound_v2,0x0421a689404e9a7d0f9f606fc4ae5938a23f9c6d,sender
aave_v2,0x13e1699a681d48d9b98e0adf64052134559f105c,sender
compound_v2,0xa505b105060eafbf4521e337256ba0433b6fc6bd,sender
compound_v2,0xe37d31ca91bb9048e24fd08a0d4c939465c1a482,sender
aave_v2,0xfa449503dc956c0f008903fe00cc30f50e07e745,sender
aave_v2,0x3dab914dedd7d0e58ab0dfc2e4f9bd7867b2dfa3,sender
aave_v2,0x0737a422c2b17a0c5dba9f2ac57a7d3cbc2fb75b,sender
compound_v2,0x546c7c30dde15cff98d3e8e8345bbf67e0177bae,sender
aave_v2,0x3450c8909e7655db27bc6ec7172ee43e922c04d7,sender
aave_v2,0x50a7d74acbb5e232957c03bff75c1a690222ea98,sender
compound_v2,0x5379db826d09ab946932fddc6ef24c3d2b059ecf,sender
aave_v2,0xfe91bb5176f645cdb34d5a03c3f5aa6f4629e141,sender
compound_v2,0x74a159841c46e6201f112d61d6ef8c506367e3fc,sender
compound_v2,0xba9575518aaf90350116d241b80c900d4d1c421a,sender
compound_v2,0x5f617cc3dd2724f5bb6f75d0f8907c95abfff0d6,sender
aave_v2,0xb877c36e38eb164b55464a8b21fcda403a2a0bcf,sender
aave_v2,0x888f153966f4fb46c03ec664a984e34530e222fe,sender
compound_v2,0x199bc6ea41bff82b2a5a0c02408a3e3b604f173b,sender
compound_v2,0x9eac3a531ea86a3a95da1c1341c9916656f03e47,sender
compound_v2,0x19ea9301b7a47bd0a329723398d75013e7e9ced7,sender
compound_v2,0xa881ee656b86bb32f5605bd5a516715ec6369f46,sender
