owner,ever_borrowed,n_borrow,n_repay,net_open
0x522afa28366d2b1d65ceb9777a04b991561d9c77,0,0,0,0
0x860eeaece07f444433a096ecd8f01313ca2a8b40,1,3,4,-1
0x5564e7ba2a80375dedba3ec71baf437c16af0327,0,0,0,0
0x7e150fe83c1c429d27a7cd04172e892c3dbc507a,1,3,4,-1
0xb3b131bf5892054978c6d19ba87af464ba6a0d79,1,17,0,17
0x2b787a5993cf3a17c02809df0b44d0bc8c7fd8ef,1,5,4,1
0x69db2c89974f74b4a16e54eb75884465a55f3980,1,4,7,-3
0x0c89a82080387de7abfef7c98634dcf6ab0294a9,1,3,4,-1
0xcce569b4827b151905eb993ffe633f28305aa4f6,0,0,0,0
0x87fc021c6ebd0a956886151673bf123e3775880a,1,1,0,1
0x7ac79ca013a1789e126845c2ace8ec3aa242a1c9,1,32,20,12
0xdc16c1cea9bc13c38502f49eeb9cfa6fb118d7db,1,7,10,-3
0xc2f39bfcdee4c4c33359edba8fb3c4cfa044e8fb,1,1,1,0
0x2d2e21f3dfd70f809f62c0ad289acf3e1dfa9edf,0,0,0,0
0xb3bc81c7d4ea095d5a9cef21ae44f5ebba4ebd26,0,0,0,0
0xc4f11b15b48f8ef5cde1e44a926eb14a22d4cc0b,1,1,1,0
0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0,0,0,0
0x8ad1cc612e7659acb00e9f7887a1b6fee511654d,1,1,0,1
0x6accfba19e00773ec4c8700096e5c0e84a40c2fa,0,0,0,0
0x919bba8bcde41b5845e8d7a94ed0543577cf26b1,1,1,1,0
0x4b324d4874e1e2a806b2305602fb181c392cf885,1,6,2,4
0xd4cb64c07e153592474c283de6455af72ec5bea2,1,2,1,1
0x864de5bbaf4b8c808e94a8385b95b0855d170137,1,1,1,0
0x8fc2236ac32307df8ab5116024b5c73827c37ceb,0,0,0,0
0x61fef96e49f352fbac4645b0f5aefc0f40d80695,1,2,2,0
0xc76360fa705335e60c2b8b17d4556c935c597199,0,0,0,0
0x88613a9199083cc1a53138cc0cd6fc03d5a79b92,1,1,1,0
0xd372d109ba3f475a75ef27a0ad00044f33d09a4e,0,0,0,0
0x18cd94db976c3115365a0c02ffc7927dfdc461b2,1,4,0,4
0x8d707bfda4d4b8e28cb68153854a46127ce0df47,1,30,16,14
0x0b22380b7c423470979ac3ed7d3c07696773dea1,0,0,0,0
0x0dcf6f641dd289663fb0fa39d21dfc41f9d95f18,1,1,1,0
0xda7db788742891b046ed87316a1c38b94e362b01,0,0,0,0
0xfcace1f2763371786ac1e63e3cf600f039b45836,1,8,9,-1
0xc7fd5029fe1c7fbcde39e78859a7ed7c7179be0f,0,0,0,0
0x7b505d4ac6ab4cdf3ff86c48ebf4b3645377817f,1,17,9,8
0x7089e6e7374340ef5315dd3664f7a297744b465f,0,0,0,0
0x4f1a63e53e67be6ba0f497d91a3259686d41a540,1,20,25,-5
0x7a087e630f7d50544513967b1c68839458c16526,1,2,0,2
0x1b133343e87c59b9433c728528a415ec4fd249df,0,0,0,0
0x340b78e4d3216f9f50df0b8e57a380f7565a3bba,0,0,0,0
0x9031537e04e25f02dccfd0988214ac320611ed6f,0,0,0,0
0x39af6952f2fbe751a10f28a63f9f57d65f64e3fa,0,0,0,0
