ev_in,ev_out,market,owner,pl_out
0.0,12569.429904,compound_v3,0xc85ddea578afaf813d39893ae87ddc366db39ef1,0.0
0.0,11271.016895,compound_v3,0x4459b0e57bb7577a164bb5d38680a6edcdee79f4,0.0
0.0,0.0,compound_v3,0x9a46c0932c1fca8e06874bb4f9e0f2fd276cfa5a,0.0
0.0,0.0,compound_v3,0x91feaeaf87894f951691d32cd469fbd0c2e6f320,0.0
0.0,4896.329331,compound_v3,0x8831c5017b1caf6714aedbdcf2b7363f1ae8b188,0.0
0.0,70241.675856,compound_v3,0x83b4550c9c53e0230b9d03b884f1ee43733c883f,0.0
0.0,0.0,compound_v3,0x3cbc3bed185b837d79ba18d36a3859ecbcfc3dc8,0.0
0.0,0.0,compound_v3,0xd692f79d253c4322aedacb06126112d09e737aa8,0.0
0.0,0.0,compound_v3,0x18b1faf3efbef00f3205cf18fb426dfeb276aca5,0.0
0.0,0.0,compound_v3,0x086dbcf9d25b476aaba8ae02cea177870d27b64c,0.0
0.0,0.0,compound_v3,0x49ae763ed846db9a69a639732caa320fad1d5799,0.0
0.0,0.0,compound_v3,0x72bcde018f36d8143710e5998587e3c946739c1f,0.0
0.0,0.0,compound_v3,0x51981031399ec301d800aeb7a3f212f07e27ba46,0.0
0.0,0.0,compound_v3,0x6dcbee3552b25bd8d79aa98a6cfd285c2432f55f,0.0
0.0,0.0,compound_v3,0xb4a35ae53d4d032c5ac113641254c30cb50ddf08,0.0
0.0,0.0,compound_v3,0x0672a50d71dc2f4893d957e7a368d6ce7315e1ef,0.0
0.0,0.0,compound_v3,0x0dd46d3cab80d4eec9298fbae9cc6c27edd969c0,0.0
0.0,67800.0,compound_v3,0xe64c85059f9560fd475cc4d3dde881334917d4eb,2000.0
0.0,0.0,compound_v3,0xb1cf4f02e01cf24c4099e82b16c8ede76b52ffb6,87000.0
0.0,0.0,compound_v3,0x8d5a603ee20b437a872f55f2380ffc907ad241cd,0.0
0.0,0.0,compound_v3,0x120c7d4ca2c778fa01a367c6edff02d05e0fc649,0.0
0.0,0.0,compound_v3,0x2fad813992ed920cad548f34dfa147e1b7a59198,0.0
0.0,0.0,compound_v3,0x94cb486eb43ba23159a7debac920b0fa7cb476fa,0.0
0.0,0.0,compound_v3,0xfc278dd0a2757f24f80d4b5fdadee36314df76cb,0.0
0.0,0.0,compound_v3,0xd93495ceabc7a02ff39cf3097a33e25bca224b23,0.0
0.0,0.0,compound_v3,0x227e93bc160fc34f1f31500dbf83619c6147aedb,0.0
0.0,0.0,compound_v3,0xda09241192800b94f13b469774b3469446aea827,0.0
600000.0,1801249.016134,compound_v3,0x4855aecf5e4779156789e81f81591a4ac376e202,0.0
0.0,3000703.052685,compound_v3,0xc397d4677d0fe3d5c55c017b6a1e2c5162f7de32,0.0
