owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x384870a0a6d26fd7193d65fa3822e5401f73d4bc,4082859.617294999,316,410,0,,0
0x9093d3194d887891994e79f35cd5c6872b085dab,4079073.271297,18,993,0,,0
0x7d53a910f787be3aa27952ab7a9f298565bcf8b1,4045090,9,114,0,,0
0x049355e4380f8db88cb8a6ec0426b1a1a3560c67,4000000,0,,0,,0
0x1ca62985e97c7106c9c3e4bcb4c2baa6a8d2f365,3994311.4919420006,2508,947,0,,0
0xb295faacfe9d72ce8bd57b8771bad5cd031647dc,3992655.0754549988,780,573,1,51,4023187.397443
0x60ee8465dc43245c6c2989b1089e476d3a0a717d,3975580.9259830024,0,,1,37,2990279.1505
0x0a6077c72e2d68d820906ba577783de7654fca54,3964099.9831760004,133,764,0,,0
0xd5ac0d30b6059640ca089c608663562601d81b42,3875000,13,461,0,,0
0x4a49985b14bd0ce42c25efde5d8c379a48ab02f3,3870250.385691993,0,,0,,0
0xa976ea51b9ba3232706af125a92e32788dc08ddc,3828160.9418300013,0,,0,,0
0x5e37939becca1818378c52835ad1ebb1ddc4b344,3820778.5198080004,358,386,0,,0
0xb5a59d8e2e0f1a192635dd6cbee225d11dcb84c2,3809174.505736,2,395,0,,0
0x76d20ddcd78a390ed98dac011d27572c0f5645b1,3807328.9890670003,71,174,0,,0
0x48d74d69a293c32b9fec25be57eb4dd01e060430,3757773.0727109993,585,962,0,,0
0x83b1a8e6ea4bf359de7fef4930117ab6b21954b0,3698041.07924,2,395,0,,0
0x1fbf4789ac39de79936ccc29fa6789db6848a275,3664693.5138719995,1934,521,0,,0
0xd15dcd096ddb04cbe2c400d6933bfef59a9c23a8,3637590.714711,689,1126,0,,0
0x6d39d82a7e43dd567efc03ef28ee73663f2aa515,3606004.9441189985,498,1041,0,,0
0x9e797688c492eb51cb02a66f2a13c89464c9d919,3590000,11,497,0,,0
0x634ec66a3794ee24d30490a722c5681bdbac3efe,3572889.392212998,252,385,1,47,557002
0x98b8f0bb1603f175ef24672e32067239e76e2f3e,3570255.00001,3,86,1,26,3579994.730598
0xa7888f85bd76deef3bd03d4dbcf57765a49883b3,3552405.458741001,4357,773,1,43,8022012.887152
0x8db63f56502b8596bc2e56939c1710034e5883e6,3520097.001375,3494,1046,0,,0
0x1e5babfaca734ee68ef242863d46eb20e486220b,3497944.2067170003,345,216,1,40,3514000.599223
0x3846e7a1a5dea3f43104ed89ff0e6ffd1cc74b6e,3491898.0852620024,1455,963,1,58,1150000
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,3446085.7227509897,0,,0,,0
0x13e1699a681d48d9b98e0adf64052134559f105c,3442850.398568999,2165,817,0,,0
0xd620aadabaa20d2af700853c4504028cba7c3333,3442343.8559839996,566,521,0,,0
0x38d172c5756033c0ba2bd05a0622f26a47a8a19c,3437163.5222550007,1249,463,0,,0
0x119454fcd0c84b3e44cec59a718848c70987935f,3424833.8969860002,166,634,1,56,3394941.732403
0xc22bc5f7e5517d7a5df9273d66e254d4b549523c,3367569.956095,2226,910,0,,0
0xafc258cc5c411f30042d6cdb196727365aec118f,3322813.462854,335,660,1,56,3372827.110663
0xd4e26683635bf3dc9ead5f31b935c33cc1ce1838,3263262.403712,6496,630,0,,0
0x2e34c8c64bb342b268480409d8500d4da3b5e491,3244653.5,4,593,0,,0
