day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2021-03-16 00:00:00.000 UTC,8972899.98341,7726999.185870001,1245900.7975399997,53,46,36,25
2021-03-17 00:00:00.000 UTC,6415900.150932999,13998249.878185,-7582349.727252001,43,44,38,26
2021-03-18 00:00:00.000 UTC,12877839.499209998,3199769.6451499993,9678069.854059998,62,26,56,16
2021-03-19 00:00:00.000 UTC,8712590.616389997,5519896.6062320005,3192694.010157997,56,29,41,22
2021-03-20 00:00:00.000 UTC,18744169.166118998,1559521.0017630002,17184648.164355997,48,27,30,26
2021-03-21 00:00:00.000 UTC,37485485.384501,19948195.649311002,17537289.73519,36,39,27,30
2021-03-22 00:00:00.000 UTC,11323601.815266,18667742.723872,-7344140.908605998,43,40,28,28
2021-03-23 00:00:00.000 UTC,7476624.6278289985,5295637.896807,2180986.7310219985,45,53,27,29
2021-03-24 00:00:00.000 UTC,7717062.424784,15317058.608488003,-7599996.183704003,44,69,23,24
2021-03-25 00:00:00.000 UTC,29752220.994672008,5350851.956069,24401369.038603008,73,35,29,27
2021-03-26 00:00:00.000 UTC,32666293.025941998,13350903.075554,19315389.950388,42,49,24,35
2021-03-27 00:00:00.000 UTC,1932310.7963320003,20650978.73727,-18718667.940938,48,45,33,28
2021-03-28 00:00:00.000 UTC,8426150.619015003,8047689.498542001,378461.1204730021,37,36,22,22
2021-03-29 00:00:00.000 UTC,13493621.227058,6519364.239411,6974256.987647001,37,43,26,26
2021-03-30 00:00:00.000 UTC,6636285.547077,3943789.4049050002,2692496.142172,36,41,20,28
2021-03-31 00:00:00.000 UTC,5245265.911877999,15939827.781938996,-10694561.870060997,38,83,29,28
2021-04-01 00:00:00.000 UTC,21147320.980367,4058519.0321320007,17088801.948235,29,37,24,20
2021-04-02 00:00:00.000 UTC,10856258.279094001,10131976.226171995,724282.0529220067,37,31,29,25
2021-04-03 00:00:00.000 UTC,10795444.353519998,36169514.705468014,-25374070.351948015,64,43,52,29
2021-04-04 00:00:00.000 UTC,11274941.57047,3253767.474668,8021174.095802,75,32,55,24
2021-04-05 00:00:00.000 UTC,6348677.183303001,3666630.196797,2682046.9865060016,47,31,38,22
2021-04-06 00:00:00.000 UTC,4145485.046408001,3405497.5514839995,739987.4949240014,47,37,37,25
2021-04-07 00:00:00.000 UTC,13077098.938229,11199574.926528998,1877524.0117000025,49,38,37,25
2021-04-08 00:00:00.000 UTC,6346615.662816,10302872.820433002,-3956257.157617002,52,45,39,25
2021-04-09 00:00:00.000 UTC,6112287.289528,14224499.446451,-8112212.156923001,50,42,39,24
2021-04-10 00:00:00.000 UTC,4218845.262802,10861334.818120997,-6642489.555318997,61,46,56,28
2021-04-11 00:00:00.000 UTC,5474094.844379,3135611.4220109996,2338483.4223680007,60,49,52,31
2021-04-12 00:00:00.000 UTC,8555052.691331,4683995.767082,3871056.924248999,45,57,32,33
2021-04-13 00:00:00.000 UTC,10635946.756386,7815657.361827999,2820289.3945580013,65,46,46,28
2021-04-14 00:00:00.000 UTC,12681150.481255002,4741366.515300999,7939783.965954003,68,43,45,32
2021-04-15 00:00:00.000 UTC,6331896.394220001,7847543.466019999,-1515647.0717999982,84,58,66,43
2021-04-16 00:00:00.000 UTC,34116518.09873399,6102883.281574001,28013634.81715999,74,31,51,17
2021-04-17 00:00:00.000 UTC,10394442.095975,17040657.809347,-6646215.713372,48,21,28,16
2021-04-18 00:00:00.000 UTC,44864723.49751599,18984605.906043,25880117.59147299,116,83,50,45
2021-04-19 00:00:00.000 UTC,19659996.774917003,14261062.758086002,5398934.016831001,55,40,30,24
2021-04-20 00:00:00.000 UTC,26093297.722361997,14148870.725128004,11944426.997233992,53,59,25,22
2021-04-21 00:00:00.000 UTC,8537568.131995,7195738.744213999,1341829.3877810007,47,54,36,34
2021-04-22 00:00:00.000 UTC,10457714.528648999,6623012.666202999,3834701.862446,62,73,40,37
2021-04-23 00:00:00.000 UTC,6416836.790972999,11160603.965152998,-4743767.174179998,76,90,42,52
2021-04-24 00:00:00.000 UTC,21790957.959842004,6599873.505523001,15191084.454319004,89,64,47,46
2021-04-25 00:00:00.000 UTC,48072851.19631801,50183557.345183,-2110706.148864992,162,79,112,44
2021-04-26 00:00:00.000 UTC,1031293188.8768111,123221786.80387297,908071402.0729382,668,137,350,69
2021-04-27 00:00:00.000 UTC,539487198.4857681,218230303.62945303,321256894.856315,387,158,216,86
2021-04-28 00:00:00.000 UTC,214569271.837448,21572651.97647899,192996619.860969,181,121,114,61
2021-04-29 00:00:00.000 UTC,436915048.79753333,128071194.31156704,308843854.4859663,177,154,107,76
2021-04-30 00:00:00.000 UTC,411844597.21647006,84508585.152274,327336012.06419605,149,111,106,62
2021-05-01 00:00:00.000 UTC,109329987.06122302,70979056.62097001,38350930.440253004,181,112,106,52
2021-05-02 00:00:00.000 UTC,25969892.67795001,42178610.32927999,-16208717.65132998,124,88,69,49
2021-05-03 00:00:00.000 UTC,140892906.722567,199630109.099422,-58737202.376855016,299,167,190,67
2021-05-04 00:00:00.000 UTC,184002907.5116,67585409.51204301,116417497.99955697,223,136,137,61
2021-05-05 00:00:00.000 UTC,416114879.236702,188078907.166017,228035972.07068503,141,122,73,63
2021-05-06 00:00:00.000 UTC,320442572.3989459,221887830.03831005,98554742.36063588,161,160,100,53
2021-05-07 00:00:00.000 UTC,40621585.133667015,87851696.705642,-47230111.571974985,164,86,130,39
2021-05-08 00:00:00.000 UTC,27915556.414660998,12294840.883051999,15620715.531608999,86,39,59,21
2021-05-09 00:00:00.000 UTC,15967041.217659995,71125657.20218801,-55158615.98452802,51,57,41,32
2021-05-10 00:00:00.000 UTC,32614028.718822002,10047588.574100003,22566440.144722,66,49,42,22
2021-05-11 00:00:00.000 UTC,22632263.008108,18701248.127134003,3931014.8809739985,37,26,26,15
2021-05-12 00:00:00.000 UTC,16855272.652242,8764760.144766001,8090512.507476,55,33,38,17
2021-05-13 00:00:00.000 UTC,110064489.40103301,37359275.73030501,72705213.670728,141,120,72,58
2021-05-14 00:00:00.000 UTC,157077319.69048098,62551719.465996996,94525600.22448398,79,66,54,34
2021-05-15 00:00:00.000 UTC,55689139.712882996,32298089.710857,23391050.002025995,95,83,62,38
2021-05-16 00:00:00.000 UTC,55035616.895375,26511800.246494,28523816.648881,110,116,62,59
2021-05-17 00:00:00.000 UTC,77132252.39855498,37062925.25095099,40069327.14760399,113,102,66,60
2021-05-18 00:00:00.000 UTC,119626205.23385397,62223779.875757,57402425.358096965,121,115,67,53
