owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0xf6da9e9d73d7893223578d32a95d6d7de5522767,2133.982635000255,306,196,0,,0
0x7eb12f04effc4901d7520e4ebd62de512743feca,2020,710,721,0,,0
0x9d7711db9cdeacb073d689e79c50c648820ac650,2012.5245900000002,532,742,0,,0
0xe2e18ec8d04f625c42840af0a064708347b69673,2006,16,763,0,,0
0x7c4612d66a6510f6f9d9bd361dddb25c45486c56,2000.628296,50,462,0,,0
0x4df60c6f409c88423c1912bcea5309dafaaf96cd,2000.000462,102,912,0,,0
0x20707d089053ac5136a2fa5ca259d057509e19bc,2000,3,70,0,,0
0xd50c46607b8c6aaa03c4cd2506e79a5df2b699bf,2000,249,1741,0,,0
0xca12f1ecc57d00edd0fc190e71bf2ccdb1b493bf,1998.603658,6,69,0,,0
0x75239990776877d0000115b8306961160b3f2d3d,1940.953986,7,113,0,,0
0xedb8d6fed30d2a4db3bbdbecf578609fde491a79,1761.438241,193,410,0,,0
0xc50a66a990bf4ce0ff8b5c4e3b9c35144cfde8fc,1748.1867379999994,65,869,1,47,700
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,1741.9130550000118,1194,1915,0,,0
0x145d8c9a4e2f9812812954a2f09c6698aadeb571,1679.590154,31,631,1,51,1697.624285
0x292659de4a3be50b3a454083a7434fe7ced0f678,1500,126,726,0,,0
0x2a3b551ada28441c3b30a71bd9ef35e29b63e356,1448.133199,71,797,0,,0
0x2068d14ee50772dd6e89c6f64f32adad0cc936ef,1150,905,727,0,,0
0xf6f3bc09782d3c0df474eb3cec5cac8423bfedf3,1050.9957770000037,1240,1650,0,,0
0x18cfacd7e0e63ba79a42ba3cc6412b2db07c89f9,1026.781483,98,676,0,,0
0x64285a547a12c462aaae2facb1198b03ff1107d3,1000,442,375,0,,0
0xc1ec4727c0bca380c2750aaa43b0d9fe8644d97a,1000,10,216,0,,0
0x446b3829013f94ea309318e294d8ed7825950e09,1000,281,635,0,,0
0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,1000,3805,1379,1,122,5001.250526
0x8df391a660d68b84fb3920ce5456123d85219f61,1000,33,234,1,99,1004.313486
0x8014a798ca117e4c44047f5c6cc617bc54296284,1000,617,1377,1,52,1003.175906
0xac345e03221f2bbf79dc1544b3545d0c0a079142,1000,38,262,0,,0
0xf835b9a2a3d15b4320d1e9f3fdba8487b4f546ae,1000,128,157,0,,0
0x383b06b2e0a53e9603e1672ea383e2c7c5744391,1000,0,,1,106,1009.28562
0x6bd60f089b6e8ba75c409a54cdea34aa511277f6,1000,442,528,0,,0
0x358b55d2ac855ae64cd01ab6fdaca77149b98b4e,954.5936109999893,716,709,0,,0
0x9bb4fc55fd64f7f086d98f28da0db53546765fcc,900.223848,31,217,0,,0
0x0672a50d71dc2f4893d957e7a368d6ce7315e1ef,899.7594960000001,0,,0,,0
0xea6363831327cb802bafb4f4746a4e58e5410449,898.388128,2,114,0,,0
0xd9302b9ff329c4be356c435920df50ab4dcc7490,790.2573710000142,11,178,0,,0
0xa8bff2d050cee7b90c1040f17109fc89d2ce1bcb,685.7468930000032,33,340,0,,0
0xfb78db4d7732e29bd6eccebe08b56bd2b32c9aa1,664.4719309999928,81,176,0,,0
0xd8a334f636df76f83661f3deee8fbae2fd10151f,628.8726,12,452,0,,0
0x515491350701b46a54c666d18822fd7e3c44ebd8,618.9385769999935,1017,2146,0,,0
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,616.4570409999869,415,174,0,,0
0x2d361394ea6bf8a3e9cbc0d28c5426ef768a153d,589.973094,5,24,0,,0
0x8ea8212a240306b44efc9383ac1908ea73c55d02,578.2749719999993,65,772,1,47,100000
0x7524abf28bf53c8a85ac8989b254da280bd68b0c,533.731439,13,249,1,64,535.825637
0xe9ed8695fc64fa050d1f7dcc8ad516d86e6c1233,500,106,441,0,,0
0x59ad4311466bc783fa1ae79513d6fc647e98e77a,500,0,,0,,0
0xc99b170515f650234971463378b35d763c2e881e,477.549513,19,126,0,,0
0x94c7c5f905fc888ddc48c51a90b68ddec44f8d8c,458.7963,989,1623,0,,0
0xfd53b1dfcec47b755e96b6dfd99ff3d490e2ed3b,419.997783,13,254,1,40,421.904999
0x76b35da9adf3775602e86caf0bd40f0c7b8a5997,390.8695319999824,13,796,0,,0
0xbe4be177cf558b81eaf7de239747ec2e8e91bc67,382.25,18,89,0,,0
0x490fa7e02fae507a28665733742e623395e83a30,346.183474,44,522,0,,0
0x933258bddd49beeca77f6d1889633c5429af45ea,323.60650300001726,4025,878,0,,0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,317.221875999996,15951,992,0,,0
0x120c7d4ca2c778fa01a367c6edff02d05e0fc649,300,37,412,0,,0
0x6dcbee3552b25bd8d79aa98a6cfd285c2432f55f,300,32,515,0,,0
0x9f9ebce72c0715cdbad4d589986eb22f6782a1ce,295.80722,1832,870,0,,0
0x2c49946a3840505753dddc5e60c23fbd19529c30,283.3890520000132,63,1356,0,,0
0x4f00a16d909e3c9df5b5e7be30b2af0b0e67c5a3,280.54745099972934,222,572,0,,0
0x2d4e1aebf7ce679f8662f8f4c291c2955c3e5264,265.684374000004,0,,0,,0
0x73d8bdee2850f7dc30ade2d09f7156a13737ee1a,250,40,661,0,,0
0x18b1faf3efbef00f3205cf18fb426dfeb276aca5,250,0,,0,,0
0x9452244fcd1acd78ed22776e1f8bcdd63bb0b074,221.98748599999817,553,812,0,,0
0xc75c7ced9c97434c1d94ad846c55ed0984ab8152,221.562749,66,214,0,,0
0x86e6f61f167dfaa53c592124ae642e99adf782ca,221.143628,3,742,0,,0
0x94cb486eb43ba23159a7debac920b0fa7cb476fa,216.25281099998392,59,86,0,,0
0x7224e2887d20c4286f928d43f2c2aeb94bbcd500,211.8710560000036,0,,0,,0
0xc1fcec8e69b38bf8d5ba5bfd807c02ea80fdd2e3,208.90202099999988,144,787,0,,0
0x5a2ebd3ced212acd3d3c72f62d66affc64ccbc4c,207.01456,34,759,0,,0
0x50763add868fd7361178342fc055eaa2b95f6846,200,209,2770,0,,0
0x4fabde849f3d23fb952ec868df6ae0eb97961207,200,121,104,0,,0
