ts,price
2023-03-13 12:04:00.000 UTC,0.988402
2023-03-13 12:05:00.000 UTC,0.988445
2023-03-13 12:06:00.000 UTC,0.988445
2023-03-13 12:07:00.000 UTC,0.988445
2023-03-13 12:08:00.000 UTC,0.988445
2023-03-13 12:09:00.000 UTC,0.988445
2023-03-13 12:10:00.000 UTC,0.989361
2023-03-13 12:11:00.000 UTC,0.989361
2023-03-13 12:12:00.000 UTC,0.989361
2023-03-13 12:13:00.000 UTC,0.989361
2023-03-13 12:14:00.000 UTC,0.989361
2023-03-13 12:15:00.000 UTC,0.989334
2023-03-13 12:16:00.000 UTC,0.989334
2023-03-13 12:17:00.000 UTC,0.989334
2023-03-13 12:18:00.000 UTC,0.989334
2023-03-13 12:19:00.000 UTC,0.989334
2023-03-13 12:20:00.000 UTC,0.989232
2023-03-13 12:21:00.000 UTC,0.989232
2023-03-13 12:22:00.000 UTC,0.989232
2023-03-13 12:23:00.000 UTC,0.989232
2023-03-13 12:24:00.000 UTC,0.989232
2023-03-13 12:25:00.000 UTC,0.989057
2023-03-13 12:26:00.000 UTC,0.989057
2023-03-13 12:27:00.000 UTC,0.989057
2023-03-13 12:28:00.000 UTC,0.989057
2023-03-13 12:29:00.000 UTC,0.989057
2023-03-13 12:30:00.000 UTC,0.989065
2023-03-13 12:31:00.000 UTC,0.989065
2023-03-13 12:32:00.000 UTC,0.989065
2023-03-13 12:33:00.000 UTC,0.989065
2023-03-13 12:34:00.000 UTC,0.989065
2023-03-13 12:35:00.000 UTC,0.989091
2023-03-13 12:36:00.000 UTC,0.989091
2023-03-13 12:37:00.000 UTC,0.989091
2023-03-13 12:38:00.000 UTC,0.989091
2023-03-13 12:39:00.000 UTC,0.989091
2023-03-13 12:40:00.000 UTC,0.989723
2023-03-13 12:41:00.000 UTC,0.989723
2023-03-13 12:42:00.000 UTC,0.989723
2023-03-13 12:43:00.000 UTC,0.989723
2023-03-13 12:44:00.000 UTC,0.989723
2023-03-13 12:45:00.000 UTC,0.989757
2023-03-13 12:46:00.000 UTC,0.989757
2023-03-13 12:47:00.000 UTC,0.989757
2023-03-13 12:48:00.000 UTC,0.989757
2023-03-13 12:49:00.000 UTC,0.989757
2023-03-13 12:50:00.000 UTC,0.989382
2023-03-13 12:51:00.000 UTC,0.989382
2023-03-13 12:52:00.000 UTC,0.989382
2023-03-13 12:53:00.000 UTC,0.989382
2023-03-13 12:54:00.000 UTC,0.989382
2023-03-13 12:55:00.000 UTC,0.989477
2023-03-13 12:56:00.000 UTC,0.989477
2023-03-13 12:57:00.000 UTC,0.989477
2023-03-13 12:58:00.000 UTC,0.989477
2023-03-13 12:59:00.000 UTC,0.989477
2023-03-13 13:00:00.000 UTC,0.989475
2023-03-13 13:01:00.000 UTC,0.989475
2023-03-13 13:02:00.000 UTC,0.989475
2023-03-13 13:03:00.000 UTC,0.989475
2023-03-13 13:04:00.000 UTC,0.989475
2023-03-13 13:05:00.000 UTC,0.990563
2023-03-13 13:06:00.000 UTC,0.990563
2023-03-13 13:07:00.000 UTC,0.990563
2023-03-13 13:08:00.000 UTC,0.990563
2023-03-13 13:09:00.000 UTC,0.990563
2023-03-13 13:10:00.000 UTC,0.993373
2023-03-13 13:11:00.000 UTC,0.993373
2023-03-13 13:12:00.000 UTC,0.993373
2023-03-13 13:13:00.000 UTC,0.993373
2023-03-13 13:14:00.000 UTC,0.993373
2023-03-13 13:15:00.000 UTC,0.993061
2023-03-13 13:16:00.000 UTC,0.993061
2023-03-13 13:17:00.000 UTC,0.993061
2023-03-13 13:18:00.000 UTC,0.993061
2023-03-13 13:19:00.000 UTC,0.993061
2023-03-13 13:20:00.000 UTC,0.993236
2023-03-13 13:21:00.000 UTC,0.993236
2023-03-13 13:22:00.000 UTC,0.993236
2023-03-13 13:23:00.000 UTC,0.993236
2023-03-13 13:24:00.000 UTC,0.993236
2023-03-13 13:25:00.000 UTC,0.993019
2023-03-13 13:26:00.000 UTC,0.993019
2023-03-13 13:27:00.000 UTC,0.993019
2023-03-13 13:28:00.000 UTC,0.993019
2023-03-13 13:29:00.000 UTC,0.993019
