owner,ran_p1,ran_p2,ran_p3
0x1bfde32631a807ef7570906cf41665d72bf20164,0,1,0
0x8b7308faf4b79f96b2689fab9570c80f375f6fbc,0,1,0
0xc56953d1df51887d03021fc3b14b636ef0275947,0,1,0
0x9441deb6e03540cf3be3cfffe227ce4fa6827a4b,1,0,1
0xb9a5cf416f57d35136c542a20acb01854a51ef2e,0,0,1
0xa976ea51b9ba3232706af125a92e32788dc08ddc,0,0,1
0x33d84d2a77d850b13053a1496d25cc58b145aa13,1,0,0
0xbff39f34c005bb0cd6d24174c9faee21c3ea2927,0,0,0
0xab6eaa7f32a98682e2502b3500ad8d58a90e091b,0,1,0
0x8f2ac88bd3080b470648d2205142c37fa16dfe58,0,1,0
0x634ec66a3794ee24d30490a722c5681bdbac3efe,0,0,1
0xfe219ee03396e4cb5a75335b7dccc028f9264eb9,0,0,0
0x3fee4c40802249ea66a8ff6271a5098b2e1ecb2c,0,0,0
0x7c132bde28ad1e0101d45121757d7c6c2e8a550a,1,1,0
0xeaa7723633cf598e872d611f5ec50a45b65cbc72,0,0,1
0xbe67bb1aa7bacfc5d40d963d47e11e3d382a56bd,1,0,0
0x7397a4dd90267588da3092d64dfaaefd81b12622,0,0,1
0xccec342967170b4f3cda502e6c12c059fb86f6f0,0,0,0
0x12220a63a2013133d54558c9d03c35288eac9b34,0,1,0
0xacdba7e1ce57675954a2a70aa07ab9d880da38a9,0,1,0
0x71690f581e8f17096e2366cb50a38e43809ebe89,0,1,0
0xd275e5cb559d6dc236a5f8002a5f0b4c8e610701,0,1,1
0x2877733af2015e161f300c08f72a6f7d529e61c9,0,1,0
0x048fe41b588e8b70887f294811857c892196bff0,1,0,0
0xcefcca169357a18eb8c3f230f92b58562e48cae5,1,0,1
0xc94680947cf2114ec8ee43725898eaa7269a98c5,0,0,0
0xd866ddb9c64d9a01d3aad76e953f9649436fe977,1,0,0
0x602f2cff76a60efb311c63787cbf82a83dbca38f,0,1,0
0x42f9d5a35ae9aba2300cba864f2dd8311bc7a429,1,0,0
0x9c618577a81b349321427926e20be15b41d78126,0,0,0
0xc40ca9847255a1b89ac50ee08555ec150a1e23a1,0,1,0
0x2068d14ee50772dd6e89c6f64f32adad0cc936ef,0,0,0
0xac5dbb0297e45f39bca313e2e44a8e3f26508e1f,1,0,0
0x16f384f74aa5c88a73b714bbd169b53569a1b2bd,0,1,0
0x64f80d81f4ae9858a9e92dce8d19ee1686cc8e04,1,0,0
0x8e36e88f4da2b8d3e8a951b2b4bc094afae7016e,1,0,0
0x007a4b3aead12ae987a40d6fcd4be44fbe2281b2,0,1,0
0xb9e6614063cc22faa6785ea299608c4248868851,0,0,0
0xd17ff262c17bedbe685324db28b21b24dda8052b,0,1,0
0x5ae36d7acd459302876b2d1c312d5c2b0507b794,0,0,0
0x0b3f6d4a5d6835137ccb2c1248f5a7d882c0dbda,1,1,0
0xbde61412ca9f899239671118fd1ec99e70195de7,1,0,0
0xcfa1ba3d4e67fe3cfa10f83ef8f18a92c8ce1a2f,1,0,0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,0,1,0
0xe0f12cccb24acc50afb859d43d3d9fbb58b80f48,0,0,0
0x192f84b53538af908312380f8547260adb310d6e,0,0,1
0x9be49fb0c8b86c5cd35b79a9f04cf537ba9f1710,0,0,0
0x5a4ac9df62415f073e984db58dfe21e14eb8903f,0,1,0
0x7a82d89ba1fbe691ade48bd2ab893adfe635fb73,0,0,0
0x7817c4100e8e51c147c7b7eac1259abbdf47e7f0,1,0,0
0x01bc016d39e72f9e247bfffd204a23621cea2bf0,0,1,0
0xdebf20617708857ebe4f679508e7b7863a8a8eee,0,1,1
0xc6099e6ddac286274bc7e9c2ca2534a5334136ba,0,0,0
0xd60e676a3ff28a63d3a49651a214df22891de21d,0,0,0
0xb13def621fdfb5c79c71ec8f55dc5d6075e68229,0,0,0
0xd31fde46afce438662cac68765dfd5a19dbc168c,0,1,0
0x00c23f61dc85c9495e4fb11c528beeaf920254cd,1,0,0
0xc653bf03541062bbee5e4c7eaecc20c80357157c,1,0,0
0x97e6e0a40a3d02f12d1cec30ebfbae04e37c119e,1,1,1
0x61f72fe1e4ff809a2eca0b191c608599a192e1a1,0,1,1
0x981cec30963d5797869f92e1e74e9b058a7d27a2,0,1,0
0xec53d52f89ac4d2ec33dac830c758d1dd2564c7f,1,0,0
0x8f2722310b56d2cfd86a54447b5c18f3be73c4bc,0,0,1
0xbd9d21e9bcb9edcaebb9bb146c6e6415723f7b03,0,1,1
0xd47aec165d7469e266f650a049c973ec95c706f6,0,0,0
0x5ef0f3c15b2371e7355f5b6594f706ab7417655e,0,0,0
0x5878fc144c6f77d7cd4744b12bccd7f4f500af18,1,0,0
0xd0643c1a11887b5ac4ef603d2e3fa6cf463b899e,1,0,0
0xa02f419cfa73669acb54c7f18ec506ddfe53e1b2,1,1,0
0xe93f1d0392aa416046a650946935123c79d14e76,0,0,0
0xbdb2826e9b143d739df5c1e92732dd6c9faeb2b2,0,1,0
0x0cd93ed428f4c91c8d58b6e94e716b030e2ceb0c,1,0,0
0x135896de8421be2ec868e0b811006171d9df802a,1,1,1
0xc6667fbc8bc22a23bf9c7b30e8506df44b08a6ab,0,1,0
0xe9bee61a0164d79c2d94344575add5408ff7d94e,0,0,1
0x5c6fee9d51c219b4bb9c4bdc4d5f345c2eed8272,0,0,0
0x76460ec06cdee63bceb76032307485a7804165e7,0,0,0
0x382ed27251923a122ced2bb253f8ac6849f7f230,0,0,0
0xac187865df7d2fcb87ebbee6f72b7a77f3c75756,1,0,0
0x78376289d3d525739a915f7d00373bc7b3abea2d,0,0,0
0xb9b195b8ae4eab15c53989b9e78fbfe5d3060b19,0,0,0
0x05c262d49ce01ee280e05628614750efe19ef2ba,0,1,0
0xa13b9db1587db796829eefa7718b98a5bed7ab35,0,0,1
0x2e2b3c8a61c96f0ea7d6823f5a4e8285522e737f,0,1,0
0x0d88776dd9a654cfe9c67b5b1d9ce2fddd815a34,0,0,0
0x47b0d34bc548d5eaae8676086a71f42c1dfbba7c,0,0,0
0x30485556753a449321d950cf8a4e7b6c1d3ce0aa,0,1,0
0x4c315af217543b01a184f8c831497d76088e319d,0,0,0
0xbba1e273ac616566cd65e31ea9fe9ef87a9e2210,0,1,0
0xf97752a24d83478aca43b04ef7b28789e1d7eeda,1,0,0
0xb41f6d0832f70282229916e788676a9cd92d9192,1,0,0
0x73e46912432080b3b690a1f856379c3d6fa6234d,0,0,0
0x5948de29bf989a1b5a7587c5f64624655c86a542,0,0,1
0x4eb7a2703d9791f70815e99b6e15d8ced5d90ca4,0,0,1
0x9681319f4e60dd165ca2432f30d91bb4dcfdfaa2,0,0,1
0x69eb06a71dfcb68c0f59a7c08e9b6483e0b7dc4f,0,0,1
0x1bb72531ef6ef9bc2e814417090aea519cf9d132,1,0,0
0xdfdbd1885a8610930b8c37c3084fe0cad7c14d4f,0,1,0
0x800ecfce7b082eac7c03f1fbd92f2bb00ba8fa54,0,1,0
0xdc16c1cea9bc13c38502f49eeb9cfa6fb118d7db,0,0,0
0x4cc43c6cd192ec1666d0ec64f93e9bbae9e55eb8,0,0,1
0xeb63ee9c8be4c1d14c6d352fad5ca8f933be7af8,0,0,1
0x90742961fb53d3603ddc602b86aa73145a9b2c7b,0,1,0
0x8594d7a13bd4da9bc6bab2a2383fefbe039499ee,0,0,1
0xe4377620697be18e6d6aa911ca488571eeb3f081,0,0,0
0x97f141e3ba9b06a656e30c2cd34b18e5c3c940d7,0,1,0
0x9ca173d2e4b4246b8cc9d7ee331678e638c386b4,0,0,0
0xc58c4a0f3ed94f4c99b17cb75b7f54767bff254e,0,0,1
0x6210374ae19557317afce0c15196f2f9ab7fe7bb,0,0,1
0x82287cdda3d1b5d26d49ce03280d07b86d54fe54,0,0,1
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,1,0,0
0xfcc5c883aeb32fc31debdb8218bb457ba9741a48,0,0,1
0xca1b2539fcf68a3d913a65d762d379c3e06e7187,0,1,0
0xd56c94f6a8baeed43b369dc94af53449adc9f8c1,0,0,0
0xdc5a537401184a63bc299f380eb5b255f839afb5,0,0,0
0x85db67812169378666547e03b293785d7d9a6b06,0,0,0
0x0309301ed25e5cbcac19055c00b65a9836f5ac6e,0,1,0
0x42a48572a6fbfd6cd9d017a59c8d74258ed97afa,0,0,1
0x49e6d94ff389f58a786de23fbb90382474796ac2,0,0,1
0xc031d7ed84cab9317f18a2f8c2aa95bc044b36fc,1,0,0
0xbd82346646fac4c1c0c864c85a9e35709811213a,0,0,1
0x3d3cd38b8bff466497e77b5b756ea0bec9380e74,0,0,0
0xe80b168891372957c60b7823d81014d6d8263c4d,0,1,0
0x7d8857daea655dd4b327431d597403c5932fa5db,1,0,0
0x69f3d8d1f8a5e8c105ae41bd2d5275a6921b7ff2,0,0,0
0x1726ce4b2767b6f5286f0a03947b809bd0c6db74,0,1,0
0x473d3a2005499301dc353afa9d0c9c5980b5188c,0,1,0
0x5d0ac389c669d6efe3ba96b9878d8156f180c539,0,0,0
0x5c9d6f5de9f0b908f916a77f63c991712095e58c,0,0,0
0x26fab83af0f1a06dcccb814fc39408dd83bb89bb,0,1,1
0x0b5a6a15b975fd35f0b301748c8dabd35b50d8c5,0,1,0
0x85a98f62035b39b0dcbdbb98f5bbe379a5bc4a2a,0,1,0
0x37be92f21943dc91629d884f8c41c8203024633a,0,0,1
0x38abab9766e0b27d2912718a884292b8e7eb2803,0,1,0
0x9aa8cc57ef8793975f60e23611af8804070a4f22,1,0,0
